Name,SN,Added to VUE?,Printed ID,Scientific Name,Order #,Min Delay (sec),Max Delay (sec),Est Battery Life (days),Step 1 Time (days),Transmitter Model,Temp Range,Temp Accuracy (oC),Temp Resolution (oC),Depth Range,Max Depth,Depth Accuracy (m),Depth Resolution (0.22),ID or P sensor ID,P Slope,P Intercept,T sensor ID,T Slope,T Intercept,Short Common Name,Batch,Floy Tag #,PIT Code,Total Length,Weight,Sex,Surgeon,Surgery Time,Volts,HZ,Shock Time,Duty %,Mode,Clove oil (ppm),Date Tagged,Year Tagged,Est. Battery Dead,Capture Location Easting,Capture Location Northing,Release Location Easting,Release Location Northing,First Detection,Location,Status,First Detection Date,Final Date,Bad P Sensor,Notes
Carp 340,1096454,Y,3266,Cyprinus carpio,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3266,0.2198,-0.8794,,,,Carp,Fall 2010,97,,340,,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,9/9/2010,Embayment D,Dead,5/18/2011,4/3/2012,no,Died over winter in Emb D
Bass 460,1070709,Y,24,Micropterus salmoides,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-24,0.4397,-1.7587,A69-1105-23,0.1569,0,Bass,Fall 2010,59,,460,2160,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/11/2010,Embayment D,Transmitter died,,10/11/2012,yes,Survived and remained in harbour (Toronto Islands)
Bass 496,1070703,Y,12,Micropterus salmoides,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-12,0.4397,-1.7587,A69-1105-11,0.1569,0,Bass,Fall 2010,58,,496,2572,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/9/2010,Embayment D,Missing,3/31/2012,3/31/2012,no,"Diead, last seen in cell 2"
Carp 470,1133632,Y,14480,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14481,0.2315,-0.6245,A69-9002-14480,0.1569,-5,Carp,Spring 2012,187,95b33cf,470,1706,Male,Nick,0:10:28,,,,,,,09/05/2012,2012,02/Oct/2015,635161,4832081,635161,4832081,5/10/2012,1 - Outer Harbour Marina,Alive,5/10/2012,11/27/2012,No,
Carp 481,1133624,Y,14464,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14465,0.2276,-0.7983,A69-9002-14464,0.1569,-5,Carp,Spring 2012,176,95b33d0,481,1562,Female,Nick,0:08:40,,,,,,,09/05/2012,2012,02/Oct/2015,635230,4831982,635224,4831979,,37 - Cell 3,Alive,5/16/2012,11/29/2012,No,
Carp 497,1159661,Y,13516,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13516,0.2326,-0.8426,A69-9002-13515,0.1569,-5,Carp,May 2013,135 green,982000190216713,497,2050,M,Max,06:09,100,100,3,25,?,,08/05/2013,2013,30/Sep/2016,Keating Channel,,Keating Channel,,,,,,,,
Carp 502,1159651,Y,13496,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13496,0.2285,-0.8597,A69-9002-13495,0.1569,-5,Carp,July 2013,006562 yellow,982000190216871,502,1822,?,Max,6:03,90,100,300,?,?,NA,10/07/2013,2013,02/Dec/2016,Bullhead Bay,,Bullhead Bay,,,,,,,,
Carp 506,1159650,Y,13494,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13494,0.2377,-0.7620,A69-9002-13493,0.1569,-5,Carp,May 2013,NA,982000190216898,506,2316,F?,Max,07:54,90,100,3,25,?,,09/05/2013,2013,01/Oct/2016,Toronto Islands,,Toronto Islands,,,,,,,,
Carp 513,1133631,Y,14478,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14479,0.2286,-0.9082,A69-9002-14478,0.1569,-5,Carp,Spring 2012,177,95b33d7,513,1800,Female,Nick,0:06:56,,,,,,,09/05/2012,2012,02/Oct/2015,635191,4831754,635191,4831754,,37 - Cell 3,Alive,5/16/2012,11/22/2012,No,
Carp 515,1133630,Y,14476,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14477,0.231,-0.8608,A69-9002-14476,0.1569,-5,Carp,Spring 2012,184,95b33ce,515,1888,Male,Nick,0:06:08,,,,,,,09/05/2012,2012,02/Oct/2015,635161,4832081,635161,4832081,,36 - Back of Embayment C,Alive,5/9/2022,11/27/2012,No,
