YMD,Year,Month,Day,week,week_year,Season_Year,Season,Cell2,EMD,JD,LMB_Spawning,CC_Spawning,NP_Spawning
2010-09-09,2010,9,9,37,37 - 2010,Summer 2010,Summer,Before,Before,252,,,
2010-09-10,2010,9,10,37,37 - 2010,Summer 2010,Summer,Before,Before,253,,,
2010-09-11,2010,9,11,37,37 - 2010,Summer 2010,Summer,Before,Before,254,,,
2010-09-12,2010,9,12,38,38 - 2010,Summer 2010,Summer,Before,Before,255,,,
2010-09-13,2010,9,13,38,38 - 2010,Summer 2010,Summer,Before,Before,256,,,
2010-09-14,2010,9,14,38,38 - 2010,Summer 2010,Summer,Before,Before,257,,,
2010-09-15,2010,9,15,38,38 - 2010,Summer 2010,Summer,Before,Before,258,,,
2010-09-16,2010,9,16,38,38 - 2010,Summer 2010,Summer,Before,Before,259,,,
2010-09-17,2010,9,17,38,38 - 2010,Summer 2010,Summer,Before,Before,260,,,
2010-09-18,2010,9,18,38,38 - 2010,Summer 2010,Summer,Before,Before,261,,,
2010-09-19,2010,9,19,39,39 - 2010,Summer 2010,Summer,Before,Before,262,,,
2010-09-20,2010,9,20,39,39 - 2010,Summer 2010,Summer,Before,Before,263,,,
2010-09-21,2010,9,21,39,39 - 2010,Summer 2010,Summer,Before,Before,264,,,
2010-09-22,2010,9,22,39,39 - 2010,Summer 2010,Summer,Before,Before,265,,,
2010-09-23,2010,9,23,39,39 - 2010,Summer 2010,Summer,Before,Before,266,,,
2010-09-24,2010,9,24,39,39 - 2010,Summer 2010,Summer,Before,Before,267,,,
2010-09-25,2010,9,25,39,39 - 2010,Summer 2010,Summer,Before,Before,268,,,
2010-09-26,2010,9,26,40,40 - 2010,Summer 2010,Summer,Before,Before,269,,,
2010-09-27,2010,9,27,40,40 - 2010,Summer 2010,Summer,Before,Before,270,,,
2010-09-28,2010,9,28,40,40 - 2010,Summer 2010,Summer,Before,Before,271,,,
2010-09-29,2010,9,29,40,40 - 2010,Summer 2010,Summer,Before,Before,272,,,
2010-09-30,2010,9,30,40,40 - 2010,Summer 2010,Summer,Before,Before,273,,,
2010-10-01,2010,10,1,40,40 - 2010,Summer 2010,Summer,Before,Before,274,,,
2010-10-02,2010,10,2,40,40 - 2010,Summer 2010,Summer,Before,Before,275,,,
2010-10-03,2010,10,3,41,41 - 2010,Summer 2010,Summer,Before,Before,276,,,
2010-10-04,2010,10,4,41,41 - 2010,Summer 2010,Summer,Before,Before,277,,,
2010-10-05,2010,10,5,41,41 - 2010,Summer 2010,Summer,Before,Before,278,,,
2010-10-06,2010,10,6,41,41 - 2010,Summer 2010,Summer,Before,Before,279,,,
2010-10-07,2010,10,7,41,41 - 2010,Summer 2010,Summer,Before,Before,280,,,
2010-10-08,2010,10,8,41,41 - 2010,Fall 2010,Fall,Before,Before,281,,,
2010-10-09,2010,10,9,41,41 - 2010,Fall 2010,Fall,Before,Before,282,,,
2010-10-10,2010,10,10,42,42 - 2010,Fall 2010,Fall,Before,Before,283,,,
2010-10-11,2010,10,11,42,42 - 2010,Fall 2010,Fall,Before,Before,284,,,
2010-10-12,2010,10,12,42,42 - 2010,Fall 2010,Fall,Before,Before,285,,,
2010-10-13,2010,10,13,42,42 - 2010,Fall 2010,Fall,Before,Before,286,,,
2010-10-14,2010,10,14,42,42 - 2010,Fall 2010,Fall,Before,Before,287,,,
2010-10-15,2010,10,15,42,42 - 2010,Fall 2010,Fall,Before,Before,288,,,
2010-10-16,2010,10,16,42,42 - 2010,Fall 2010,Fall,Before,Before,289,,,
2010-10-17,2010,10,17,43,43 - 2010,Fall 2010,Fall,Before,Before,290,,,
2010-10-18,2010,10,18,43,43 - 2010,Fall 2010,Fall,Before,Before,291,,,
2010-10-19,2010,10,19,43,43 - 2010,Fall 2010,Fall,Before,Before,292,,,
2010-10-20,2010,10,20,43,43 - 2010,Fall 2010,Fall,Before,Before,293,,,
2010-10-21,2010,10,21,43,43 - 2010,Fall 2010,Fall,Before,Before,294,,,
2010-10-22,2010,10,22,43,43 - 2010,Fall 2010,Fall,Before,Before,295,,,
2010-10-23,2010,10,23,43,43 - 2010,Fall 2010,Fall,Before,Before,296,,,
2010-10-24,2010,10,24,44,44 - 2010,Fall 2010,Fall,Before,Before,297,,,
2010-10-25,2010,10,25,44,44 - 2010,Fall 2010,Fall,Before,Before,298,,,
2010-10-26,2010,10,26,44,44 - 2010,Fall 2010,Fall,Before,Before,299,,,
2010-10-27,2010,10,27,44,44 - 2010,Fall 2010,Fall,Before,Before,300,,,
2010-10-28,2010,10,28,44,44 - 2010,Fall 2010,Fall,Before,Before,301,,,
2010-10-29,2010,10,29,44,44 - 2010,Fall 2010,Fall,Before,Before,302,,,
2010-10-30,2010,10,30,44,44 - 2010,Fall 2010,Fall,Before,Before,303,,,
2010-10-31,2010,10,31,45,45 - 2010,Fall 2010,Fall,Before,Before,304,,,
2010-11-01,2010,11,1,45,45 - 2010,Fall 2010,Fall,Before,Before,305,,,
2010-11-02,2010,11,2,45,45 - 2010,Fall 2010,Fall,Before,Before,306,,,
2010-11-03,2010,11,3,45,45 - 2010,Fall 2010,Fall,Before,Before,307,,,
2010-11-04,2010,11,4,45,45 - 2010,Fall 2010,Fall,Before,Before,308,,,
2010-11-05,2010,11,5,45,45 - 2010,Fall 2010,Fall,Before,Before,309,,,
2010-11-06,2010,11,6,45,45 - 2010,Fall 2010,Fall,Before,Before,310,,,
2010-11-07,2010,11,7,46,46 - 2010,Fall 2010,Fall,Before,Before,311,,,
2010-11-08,2010,11,8,46,46 - 2010,Fall 2010,Fall,Before,Before,312,,,
2010-11-09,2010,11,9,46,46 - 2010,Fall 2010,Fall,Before,Before,313,,,
2010-11-10,2010,11,10,46,46 - 2010,Fall 2010,Fall,Before,Before,314,,,
2010-11-11,2010,11,11,46,46 - 2010,Winter 2010,Winter,Before,Before,315,,,
2010-11-12,2010,11,12,46,46 - 2010,Winter 2010,Winter,Before,Before,316,,,
2010-11-13,2010,11,13,46,46 - 2010,Winter 2010,Winter,Before,Before,317,,,
2010-11-14,2010,11,14,47,47 - 2010,Winter 2010,Winter,Before,Before,318,,,
2010-11-15,2010,11,15,47,47 - 2010,Winter 2010,Winter,Before,Before,319,,,
2010-11-16,2010,11,16,47,47 - 2010,Winter 2010,Winter,Before,Before,320,,,
2010-11-17,2010,11,17,47,47 - 2010,Winter 2010,Winter,Before,Before,321,,,
2010-11-18,2010,11,18,47,47 - 2010,Winter 2010,Winter,Before,Before,322,,,
2010-11-19,2010,11,19,47,47 - 2010,Winter 2010,Winter,Before,Before,323,,,
2010-11-20,2010,11,20,47,47 - 2010,Winter 2010,Winter,Before,Before,324,,,
2010-11-21,2010,11,21,48,48 - 2010,Winter 2010,Winter,Before,Before,325,,,
2010-11-22,2010,11,22,48,48 - 2010,Winter 2010,Winter,Before,Before,326,,,
2010-11-23,2010,11,23,48,48 - 2010,Winter 2010,Winter,Before,Before,327,,,
2010-11-24,2010,11,24,48,48 - 2010,Winter 2010,Winter,Before,Before,328,,,
2010-11-25,2010,11,25,48,48 - 2010,Winter 2010,Winter,Before,Before,329,,,
2010-11-26,2010,11,26,48,48 - 2010,Winter 2010,Winter,Before,Before,330,,,
2010-11-27,2010,11,27,48,48 - 2010,Winter 2010,Winter,Before,Before,331,,,
2010-11-28,2010,11,28,49,49 - 2010,Winter 2010,Winter,Before,Before,332,,,
2010-11-29,2010,11,29,49,49 - 2010,Winter 2010,Winter,Before,Before,333,,,
2010-11-30,2010,11,30,49,49 - 2010,Winter 2010,Winter,Before,Before,334,,,
2010-12-01,2010,12,1,49,49 - 2010,Winter 2010,Winter,Before,Before,335,,,
2010-12-02,2010,12,2,49,49 - 2010,Winter 2010,Winter,Before,Before,336,,,
2010-12-03,2010,12,3,49,49 - 2010,Winter 2010,Winter,Before,Before,337,,,
2010-12-04,2010,12,4,49,49 - 2010,Winter 2010,Winter,Before,Before,338,,,
2010-12-05,2010,12,5,50,50 - 2010,Winter 2010,Winter,Before,Before,339,,,
2010-12-06,2010,12,6,50,50 - 2010,Winter 2010,Winter,Before,Before,340,,,
2010-12-07,2010,12,7,50,50 - 2010,Winter 2010,Winter,Before,Before,341,,,
2010-12-08,2010,12,8,50,50 - 2010,Winter 2010,Winter,Before,Before,342,,,
2010-12-09,2010,12,9,50,50 - 2010,Winter 2010,Winter,Before,Before,343,,,
2010-12-10,2010,12,10,50,50 - 2010,Winter 2010,Winter,Before,Before,344,,,
2010-12-11,2010,12,11,50,50 - 2010,Winter 2010,Winter,Before,Before,345,,,
2010-12-12,2010,12,12,51,51 - 2010,Winter 2010,Winter,Before,Before,346,,,
2010-12-13,2010,12,13,51,51 - 2010,Winter 2010,Winter,Before,Before,347,,,
2010-12-14,2010,12,14,51,51 - 2010,Winter 2010,Winter,Before,Before,348,,,
2010-12-15,2010,12,15,51,51 - 2010,Winter 2010,Winter,Before,Before,349,,,
2010-12-16,2010,12,16,51,51 - 2010,Winter 2010,Winter,Before,Before,350,,,
2010-12-17,2010,12,17,51,51 - 2010,Winter 2010,Winter,Before,Before,351,,,
2010-12-18,2010,12,18,51,51 - 2010,Winter 2010,Winter,Before,Before,352,,,
2010-12-19,2010,12,19,52,52 - 2010,Winter 2010,Winter,Before,Before,353,,,
2010-12-20,2010,12,20,52,52 - 2010,Winter 2010,Winter,Before,Before,354,,,
2010-12-21,2010,12,21,52,52 - 2010,Winter 2010,Winter,Before,Before,355,,,
2010-12-22,2010,12,22,52,52 - 2010,Winter 2010,Winter,Before,Before,356,,,
2010-12-23,2010,12,23,52,52 - 2010,Winter 2010,Winter,Before,Before,357,,,
2010-12-24,2010,12,24,52,52 - 2010,Winter 2010,Winter,Before,Before,358,,,
2010-12-25,2010,12,25,52,52 - 2010,Winter 2010,Winter,Before,Before,359,,,
2010-12-26,2010,12,26,53,53 - 2010,Winter 2010,Winter,Before,Before,360,,,
2010-12-27,2010,12,27,53,53 - 2010,Winter 2010,Winter,Before,Before,361,,,
2010-12-28,2010,12,28,53,53 - 2010,Winter 2010,Winter,Before,Before,362,,,
2010-12-29,2010,12,29,53,53 - 2010,Winter 2010,Winter,Before,Before,363,,,
2010-12-30,2010,12,30,53,53 - 2010,Winter 2010,Winter,Before,Before,364,,,
2010-12-31,2010,12,31,53,53 - 2010,Winter 2010,Winter,Before,Before,365,,,
2011-01-01,2011,1,1,1,1 - 2011,Winter 2010,Winter,Before,Before,1,,,
2011-01-02,2011,1,2,2,2 - 2011,Winter 2010,Winter,Before,Before,2,,,
2011-01-03,2011,1,3,2,2 - 2011,Winter 2010,Winter,Before,Before,3,,,
2011-01-04,2011,1,4,2,2 - 2011,Winter 2010,Winter,Before,Before,4,,,
2011-01-05,2011,1,5,2,2 - 2011,Winter 2010,Winter,Before,Before,5,,,
2011-01-06,2011,1,6,2,2 - 2011,Winter 2010,Winter,Before,Before,6,,,
2011-01-07,2011,1,7,2,2 - 2011,Winter 2010,Winter,Before,Before,7,,,
