station_no,station,glatos_array,name,cluster,habitat_type,
77,BBE-077,BBE,Billy Bishop E,,,
78,BBW-078,BBW,Billy Bishop W,4,Exposed/Low SAV,
38,CE2-038,CE2,Cell 2,5,Shallow/Low SAV,
37,CE3-037,CE3,Cell 3,2,Deep/Low SAV,
2,CHB-002,CHB,Cherry Beach,2,Deep/Low SAV,
79,CHB-079,CHB,Cherry Beach,2,Deep/Low SAV,
31,EAG-031,EAG,Eastern Gap,2,Deep/Low SAV,
32,EAG-032,EAG,Eastern Gap,2,Deep/Low SAV,
14,EMA-014,EMA,Embayment A,5,Shallow/Low SAV,
13,EMB-013,EMB,Embayment B,5,Shallow/Low SAV,
36,EMC-036,EMC,Embayment C,5,Shallow/Low SAV,
10,EMC-010,EMC,Embayment C,5,Shallow/Low SAV,
9,EMC-009,EMC,Embayment C,5,Shallow/Low SAV,
52,EXG-052,EXG,Exhibition Grounds,,,
71,FDS-071,FDS,Fire Dock,3,Mod/Dense SAV,
19,GAT-019,GAT,GAT,4,Exposed/Low SAV,
15,GAT-015,GAT,GAT,4,Exposed/Low SAV,
22,GAT-022,GAT,GAT,4,Exposed/Low SAV,
16,GAT-016,GAT,GAT,4,Exposed/Low SAV,
21,GAT-021,GAT,GAT,4,Exposed/Low SAV,
18,GAT-018,GAT,GAT,4,Exposed/Low SAV,
17,GAT-017,GAT,GAT,4,Exposed/Low SAV,
64,JAS-064,JAS,Jarvis,2,Deep/Low SAV,
65,JAS-065,JAS,Jarvis,2,Deep/Low SAV,
66,JAS-066,JAS,Jarvis,2,Deep/Low SAV,
62,JAS-062,JAS,Jarvis,2,Deep/Low SAV,
51,MWF-051,MWF,Middle Waterfront,2,Deep/Low SAV,
1,OHM-001,OHM,Outer Harbour Marina,3,Mod/Dense SAV,
56,PAS-056,PAS,Parliament,2,Deep/Low SAV,
76,SPS-076,SPS,Spadina ,2,Deep/Low SAV,
40,TOI-040,TOI,TI 40,1,Shallow/Dense SAV,
41,TOI-041,TOI,TI 41,1,Shallow/Dense SAV,
42,TOI-042,TOI,TI 42,1,Shallow/Dense SAV,
27,TOI-027,TOI,Toronto Islands 27,1,Shallow/Dense SAV,
44,TOI-044,TOI,TI 44,3,Mod/Dense SAV,
43,TOI-043,TOI,TI 43,1,Shallow/Dense SAV,
45,TOI-045,TOI,TI 45,3,Mod/Dense SAV,
47,TOI-047,TOI,TI 47,3,Mod/Dense SAV,
46,TOI-046,TOI,TI 46,4,Mod/Dense SAV,
49,TUB-049,TUB,Turning Basin,2,Deep/Low SAV,
29,WEG-029,WEG,E Western Gap,4,Deep/Low SAV,
28,WEG-028,WEG,W Western Gap,4,Deep/Low SAV,
