Tag Family,Serial No.,ID Code,"Sensor 
Type","VUE Tag ID
(Freq-Space-ID)",Freq  (kHz),"Est. Tag Life 
(Days)",Sensor Types,Range,Units,Slope,Intercept,Transmit Ratio*
V13A-1x,1193430,10663,Acc,A69-9002-10663,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193431,10664,Acc,A69-9002-10664,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193432,10665,Acc,A69-9002-10665,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193433,10666,Acc,A69-9002-10666,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193434,10667,Acc,A69-9002-10667,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193435,10668,Acc,A69-9002-10668,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193436,10669,Acc,A69-9002-10669,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193437,10670,Acc,A69-9002-10670,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193438,10671,Acc,A69-9002-10671,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193439,10672,Acc,A69-9002-10672,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193440,10673,Acc,A69-9002-10673,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193441,10674,Acc,A69-9002-10674,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193442,10675,Acc,A69-9002-10675,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193443,10676,Acc,A69-9002-10676,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193444,10677,Acc,A69-9002-10677,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193445,10678,Acc,A69-9002-10678,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193446,10679,Acc,A69-9002-10679,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193447,10680,Acc,A69-9002-10680,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193448,10681,Acc,A69-9002-10681,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193449,10682,Acc,A69-9002-10682,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193450,10683,Acc,A69-9002-10683,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193451,10684,Acc,A69-9002-10684,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193452,10685,Acc,A69-9002-10685,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193453,10686,Acc,A69-9002-10686,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193454,10687,Acc,A69-9002-10687,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193455,10688,Acc,A69-9002-10688,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193456,10689,Acc,A69-9002-10689,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193457,10690,Acc,A69-9002-10690,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193458,10691,Acc,A69-9002-10691,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1193459,10692,Acc,A69-9002-10692,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
