"glatos_project","glatos_batch_id","vrl_file","size_kb","created_timestamp"
"THFHA","20180530","VR2W_104766_20110418_1.vrl",29345,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104766_20110818_1.vrl",21656,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104766_20111104_1.vrl",35279,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104766_20120625_1.vrl",242039,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104766_20120912_1.vrl",42293,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104766_20130417_1.vrl",248899,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104767_20110420_1.vrl",46448,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104767_20110818_1.vrl",36193,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104767_20111104_1.vrl",50903,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104767_20120416_1.vrl",90774,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104767_20121112_1.vrl",68850,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104767_20130423_1.vrl",73794,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104767_20131111_1.vrl",74935,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104767_20140520_1.vrl",60338,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104767_20140527_1.vrl",3268,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104767_20141027_1.vrl",26015,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104767_20150604_1.vrl",97672,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104767_20151027_1.vrl",24117,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104767_20160526_1.vrl",90121,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104767_20161026_1.vrl",23522,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20110419_1.vrl",307025,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20110814_1.vrl",96226,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104768_20111103_1.vrl",45738,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104768_20120421_1.vrl",573235,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104768_20121113_1.vrl",398404,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104768_20130424_1.vrl",338083,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104768_20131115_1.vrl",497285,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20140520_1.vrl",919099,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20140529_1.vrl",5858,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20141028_1.vrl",157025,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20150604_1.vrl",222314,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20151030_1.vrl",29167,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20160527_1.vrl",499269,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20161026_1.vrl",183539,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104768_20170928_1.vrl",472301,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20110509_1.vrl",209685,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20110816_1.vrl",343414,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104769_20111102_1.vrl",433756,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104769_20120515_1.vrl",840802,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104769_20121115_1.vrl",296259,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104769_20130423_1.vrl",114852,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104769_20131115_1.vrl",273553,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20140616_1.vrl",94049,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20141028_1.vrl",125534,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20150604_1.vrl",142878,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20151030_1.vrl",87034,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20160530_1.vrl",85599,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20161027_1.vrl",90431,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104769_20171201_1.vrl",401676,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20110420_1.vrl",848458,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20110816_1.vrl",67639,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104770_20111104_1.vrl",160095,2018-06-01 08:33:56
"THFHA","20180530","VR2W_104770_20120417_1.vrl",882968,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104770_20121113_1.vrl",196209,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104770_20130424_1.vrl",661122,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104770_20131111_1.vrl",266254,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20140520_1.vrl",456438,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20141027_1.vrl",79819,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20150602_1.vrl",855441,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20151027_1.vrl",75290,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20160526_1.vrl",389883,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20161027_1.vrl",204957,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104770_20170926_1.vrl",598894,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20110510_1.vrl",262500,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20110814_1.vrl",26708,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104771_20111102_1.vrl",12693,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104771_20120421_1.vrl",262141,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104771_20121115_1.vrl",157261,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104771_20130425_1.vrl",110017,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104771_20131112_1.vrl",241659,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20140520_1.vrl",45057,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20140529_1.vrl",3763,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20141028_1.vrl",17334,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20150706_1.vrl",76624,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20151027_1.vrl",109145,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20160527_1.vrl",160511,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104771_20161025_1.vrl",288022,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104772_20110418_1.vrl",15603,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104772_20110818_1.vrl",14221,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104772_20111104_1.vrl",15068,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104772_20120417_1.vrl",56083,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104772_20121112_1.vrl",241481,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104773_20110520_1.vrl",170290,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104773_20110815_1.vrl",334230,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104773_20111102_1.vrl",399746,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104773_20120515_1.vrl",862777,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104773_20121115_1.vrl",194661,2018-06-01 08:33:20
"THFHA","20180530","VR2W_104773_20130423_1.vrl",75812,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104773_20131115_1.vrl",209616,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104773_20140528_1.vrl",58482,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104773_20141028_1.vrl",113090,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104773_20150604_1.vrl",75734,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104773_20151030_1.vrl",79587,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104773_20160530_1.vrl",80016,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104773_20161027_1.vrl",101432,2018-06-01 08:31:46
"THFHA","20180530","VR2W_104774_20110418_1.vrl",11865,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104774_20110818_1.vrl",34037,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104774_20111104_1.vrl",22960,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104774_20120417_1.vrl",1182,2018-06-01 08:33:58
"THFHA","20180530","VR2W_104774_20121112_1.vrl",148370,2018-06-01 08:33:58
"THFHA","20180531","VR2W_104774_20130418_1.vrl",44181,2018-06-01 08:33:58
"THFHA","20180531","VR2W_104774_20131121_1.vrl",750947,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104774_20140520_1.vrl",539581,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104774_20140527_1.vrl",42204,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104774_20141030_1.vrl",1040677,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104774_20150604_1.vrl",398144,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104774_20151112_1.vrl",533547,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104774_20160527_1.vrl",723710,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104774_20161025_1.vrl",941367,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104774_20170928_1.vrl",1283084,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104776_20110418_1.vrl",3754,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104776_20110818_1.vrl",6936,2018-06-01 08:33:58
"THFHA","20180531","VR2W_104776_20111215_1.vrl",5767,2018-06-01 08:33:58
"THFHA","20180531","VR2W_104776_20120421_1.vrl",6335,2018-06-01 08:33:58
"THFHA","20180531","VR2W_104776_20121112_1.vrl",59982,2018-06-01 08:33:58
"THFHA","20180531","VR2W_104776_20130424_1.vrl",59510,2018-06-01 08:33:58
"THFHA","20180531","VR2W_104776_20131112_1.vrl",84259,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104776_20140520_1.vrl",37357,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104776_20141027_1.vrl",22222,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104776_20150604_1.vrl",87808,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104776_20151027_1.vrl",50234,2018-06-01 08:31:46
"THFHA","20180531","VR2W_104776_20160524_1.vrl",110102,2018-06-01 08:31:48
"THFHA","20180531","VR2W_104776_20161026_1.vrl",52615,2018-06-01 08:31:48
"THFHA","20180531","VR2W_104776_20170926_1.vrl",180022,2018-06-01 08:31:48
"THFHA","20180531","VR2W_104777_20110419_1.vrl",1387174,2018-06-01 08:31:48
"THFHA","20180531","VR2W_104777_20110814_1.vrl",794711,2018-06-01 08:33:20
"THFHA","20180531","VR2W_104777_20111103_1.vrl",517786,2018-06-01 08:33:20
"THFHA","20180531","VR2W_104777_20120421_1.vrl",759384,2018-06-01 08:33:20
"THFHA","20180531","VR2W_104777_20121214_1.vrl",2210239,2018-06-01 08:33:20
